Date,Total P2PK addresses,Total P2PK coins
01/15/2009 22:23:36,651,0
01/15/2009 22:26:47,652,0
01/15/2009 22:39:31,653,0
01/15/2009 22:57:28,654,0
01/15/2009 23:07:45,655,0
01/15/2009 23:17:42,656,0
01/15/2009 23:31:17,657,0
01/15/2009 23:44:04,658,0
01/16/2009 00:00:28,659,0
01/16/2009 00:08:07,660,0
01/16/2009 00:16:25,661,0
01/16/2009 00:21:51,662,0
01/16/2009 00:27:28,663,0
01/16/2009 00:35:37,664,0
01/16/2009 00:43:48,665,0
01/16/2009 01:03:36,666,0
01/16/2009 01:17:14,667,0
01/16/2009 01:30:43,668,0
01/16/2009 01:46:46,669,0
01/16/2009 01:48:00,670,0
01/16/2009 01:54:40,671,0
01/16/2009 02:09:21,672,0
01/16/2009 02:14:53,673,0
01/16/2009 02:26:52,674,0
01/16/2009 02:43:35,675,0
01/16/2009 02:44:53,676,0
01/16/2009 02:49:07,677,0
01/16/2009 02:57:53,678,0
01/16/2009 03:09:20,679,0
01/16/2009 03:35:11,680,0
01/16/2009 03:52:45,681,0
01/16/2009 03:59:56,682,0
01/16/2009 04:00:58,683,0
01/16/2009 04:10:36,684,0
01/16/2009 04:19:58,685,0
01/16/2009 04:36:51,686,0
01/16/2009 04:52:22,687,0
01/16/2009 05:21:01,688,0
01/16/2009 05:42:46,689,0
01/16/2009 06:01:43,690,0
01/16/2009 06:10:16,691,0
01/16/2009 06:25:15,692,0
01/16/2009 06:45:11,693,0
01/16/2009 07:07:40,694,0
01/16/2009 07:20:47,695,0
01/16/2009 07:35:28,696,0
01/16/2009 07:50:25,697,0
01/16/2009 07:57:30,698,0
01/16/2009 08:07:53,699,0
01/16/2009 08:22:35,700,0
01/16/2009 08:43:50,701,0
01/16/2009 09:08:05,702,0
01/16/2009 09:10:41,703,0
01/16/2009 09:32:09,704,0
01/16/2009 09:33:06,705,0
01/16/2009 09:40:02,706,0
01/16/2009 09:51:42,707,0
01/16/2009 10:04:26,708,0
01/16/2009 10:13:23,709,0
01/16/2009 10:32:52,710,0
01/16/2009 10:55:20,711,0
01/16/2009 11:06:30,712,0
01/16/2009 11:18:49,713,0
01/16/2009 11:41:54,714,0
01/16/2009 12:01:28,715,0
01/16/2009 12:10:13,716,0
01/16/2009 12:14:24,717,0
01/16/2009 12:24:48,718,0
01/16/2009 12:44:24,719,0
01/16/2009 12:47:53,720,0
01/16/2009 12:51:20,721,0
01/16/2009 13:05:52,722,0
01/16/2009 13:16:20,723,0
01/16/2009 13:29:26,724,0
01/16/2009 13:51:46,726,0
01/16/2009 13:53:57,727,0
01/16/2009 14:13:36,728,0
01/16/2009 14:38:47,729,0
01/16/2009 15:02:59,730,0
01/16/2009 15:21:26,731,0
01/16/2009 15:22:21,732,0
01/16/2009 15:31:57,733,0
01/16/2009 15:49:11,734,0
01/16/2009 16:09:21,735,0
01/16/2009 16:18:56,736,0
01/16/2009 16:42:44,737,0
01/16/2009 17:03:52,738,0
01/16/2009 17:07:13,739,0
01/16/2009 17:18:46,740,0
01/16/2009 17:34:18,741,0
01/16/2009 17:58:37,742,0
